 TIME             sta1            sta2      
     217.000 -0.20880117E-19  0.19253069E-23
     218.000 -0.20899308E-19  0.27060505E-22
     219.000 -0.20922360E-19  0.15609438E-22
     220.000 -0.20949856E-19  0.34859008E-22
     221.000 -0.20960569E-19  0.84149346E-22
     222.000 -0.20956283E-19  0.87598993E-22
     223.000 -0.20961631E-19  0.41914977E-22
     224.000 -0.20977344E-19  0.24017443E-22
     225.000 -0.20979479E-19  0.40050808E-22
     226.000 -0.20967092E-19  0.16983441E-22
     227.000 -0.20964049E-19 -0.44777733E-22
     228.000 -0.20971147E-19 -0.64322616E-22
     229.000 -0.20963834E-19 -0.36524630E-22
     230.000 -0.20940702E-19 -0.39342104E-22
     231.000 -0.20926808E-19 -0.74964807E-22
     232.000 -0.20925431E-19 -0.63136868E-22
     233.000 -0.20914308E-19 -0.32649541E-23
     234.000 -0.20893272E-19  0.19140077E-22
     235.000 -0.20887146E-19 -0.20891809E-23
     236.000 -0.20896901E-19  0.13238649E-22
     237.000 -0.20896242E-19  0.64671013E-22
     238.000 -0.20881288E-19  0.66053778E-22
     239.000 -0.20875535E-19  0.16458962E-22
     240.000 -0.20881419E-19  0.46143872E-23
     241.000 -0.20876076E-19  0.34247965E-22
     242.000 -0.20859822E-19  0.19723482E-22
     243.000 -0.20859215E-19 -0.36802341E-22
     244.000 -0.20876412E-19 -0.42978048E-22
     245.000 -0.20884427E-19  0.20517968E-23
     246.000 -0.20877830E-19  0.58150911E-23
     247.000 -0.20878968E-19 -0.31875360E-22
     248.000 -0.20889288E-19 -0.17897664E-22
     249.000 -0.20884971E-19  0.44687253E-22
     250.000 -0.20866560E-19  0.56990607E-22
     251.000 -0.20862584E-19  0.18639081E-22
     252.000 -0.20877753E-19  0.26938144E-22
     253.000 -0.20886993E-19  0.78436579E-22
     254.000 -0.20885765E-19  0.71182275E-22
     255.000 -0.20895703E-19  0.83062515E-23
     256.000 -0.20915542E-19 -0.48667687E-23
     257.000 -0.20918177E-19  0.30965005E-22
     258.000 -0.20902336E-19  0.13056089E-22
     259.000 -0.20896111E-19 -0.50584305E-22
     260.000 -0.20904052E-19 -0.47588740E-22
     261.000 -0.20902135E-19  0.18817566E-22
     262.000 -0.20889327E-19  0.35796439E-22
     263.000 -0.20890897E-19  0.56533750E-23
     264.000 -0.20905798E-19  0.38786134E-22
     265.000 -0.20904794E-19  0.12409648E-21
     266.000 -0.20886163E-19  0.13905664E-21
     267.000 -0.20879169E-19  0.87390167E-22
     268.000 -0.20887579E-19  0.89166992E-22
     269.000 -0.20885211E-19  0.13745150E-21
     270.000 -0.20872141E-19  0.10979706E-21
     271.000 -0.20877668E-19  0.17991365E-22
     272.000 -0.20901207E-19 -0.59200812E-23
     273.000 -0.20908923E-19  0.32236768E-22
     274.000 -0.20897657E-19  0.33656395E-23
     275.000 -0.20905020E-19 -0.79882358E-22
     276.000 -0.20948126E-19 -0.80090692E-22
     277.000 -0.21010091E-19 -0.87501078E-23
     278.000 -0.21094248E-19 -0.76929516E-23
     279.000 -0.21229676E-19 -0.66658217E-22
     280.000 -0.21409642E-19 -0.43324358E-22
     281.000 -0.21581717E-19  0.45789148E-22
     282.000 -0.21711205E-19  0.48217514E-22
     283.000 -0.21799954E-19 -0.22998954E-22
     284.000 -0.21835888E-19 -0.13648928E-22
     285.000 -0.21786128E-19  0.60471023E-22
     286.000 -0.21654542E-19  0.40523881E-22
     287.000 -0.21489495E-19 -0.53530543E-22
     288.000 -0.21321607E-19 -0.53408455E-22
     289.000 -0.21147146E-19  0.22995109E-22
     290.000 -0.20979435E-19  0.45979539E-23
     291.000 -0.20856130E-19 -0.85733603E-22
     292.000 -0.20783382E-19 -0.67683830E-22
     293.000 -0.20729531E-19  0.35001560E-22
     294.000 -0.20684193E-19  0.34091404E-22
     295.000 -0.20667549E-19 -0.46571042E-22
     296.000 -0.20674578E-19 -0.14043232E-22
     297.000 -0.20670281E-19  0.10131405E-21
     298.000 -0.20648788E-19  0.93479109E-22
     299.000 -0.20637881E-19 -0.83080022E-23
     300.000 -0.20638316E-19  0.90976472E-23
     301.000 -0.20620428E-19  0.11285450E-21
     302.000 -0.20587764E-19  0.80378868E-22
     303.000 -0.20580311E-19 -0.49924293E-22
     304.000 -0.20606320E-19 -0.40987477E-22
     305.000 -0.20634312E-19  0.68332104E-22
     306.000 -0.20659291E-19  0.31671067E-22
     307.000 -0.20710269E-19 -0.10438608E-21
     308.000 -0.20783855E-19 -0.76366687E-22
     309.000 -0.20838450E-19  0.65812505E-22
     310.000 -0.20864825E-19  0.42765775E-22
     311.000 -0.20895588E-19 -0.91105257E-22
     312.000 -0.20935444E-19 -0.41007222E-22
     313.000 -0.20951069E-19  0.12741122E-21
     314.000 -0.20940291E-19  0.93216505E-22
     315.000 -0.20940979E-19 -0.73967698E-22
     316.000 -0.20959411E-19 -0.30690271E-22
     317.000 -0.20959765E-19  0.14368972E-21
     318.000 -0.20936350E-19  0.78250870E-22
     319.000 -0.20925440E-19 -0.13253023E-21
     320.000 -0.20933318E-19 -0.78170345E-22
     321.000 -0.20924245E-19  0.13578025E-21
     322.000 -0.20892563E-19  0.56624315E-22
     323.000 -0.20874588E-19 -0.19073196E-21
     324.000 -0.20875966E-19 -0.95159447E-22
     325.000 -0.20860035E-19  0.19590961E-21
     326.000 -0.20821660E-19  0.91698449E-22
     327.000 -0.20799420E-19 -0.23399624E-21
     328.000 -0.20801264E-19 -0.77639570E-22
     329.000 -0.20792109E-19  0.34769978E-21
     330.000 -0.20768195E-19  0.14130637E-21
     331.000 -0.20768215E-19 -0.44394317E-21
     332.000 -0.20796845E-19 -0.90478381E-22
     333.000 -0.20813268E-19  0.90649477E-21
     334.000 -0.20809195E-19 -0.78857660E-21
     335.000 -0.20821197E-19 -0.98251877E-20
     336.000 -0.20852281E-19 -0.29871775E-19
     337.000 -0.20860314E-19 -0.62152271E-19
     338.000 -0.20838708E-19 -0.10308154E-18
     339.000 -0.20828987E-19 -0.14225372E-18
     340.000 -0.20838990E-19 -0.16576855E-18
     341.000 -0.20829652E-19 -0.16431602E-18
     342.000 -0.20797451E-19 -0.13742651E-18
     343.000 -0.20787093E-19 -0.89589715E-19
     344.000 -0.20806766E-19 -0.25548351E-19
     345.000 -0.20814238E-19  0.48147651E-19
     346.000 -0.20802523E-19  0.12014989E-18
     347.000 -0.20814049E-19  0.17766880E-18
     348.000 -0.20853600E-19  0.21292037E-18
     349.000 -0.20873868E-19  0.22410625E-18
     350.000 -0.20864566E-19  0.21194014E-18
     351.000 -0.20868449E-19  0.17938351E-18
     352.000 -0.20891898E-19  0.13417107E-18
     353.000 -0.20889043E-19  0.86750858E-19
     354.000 -0.20852846E-19  0.44184976E-19
     355.000 -0.20831555E-19  0.88161129E-20
     356.000 -0.20835961E-19 -0.17048388E-19
     357.000 -0.20821722E-19 -0.29604804E-19
     358.000 -0.20782535E-19 -0.28493940E-19
     359.000 -0.20767626E-19 -0.19465521E-19
     360.000 -0.20786984E-19 -0.94304548E-20
     361.000 -0.20793436E-19 -0.15209751E-20
     362.000 -0.20778655E-19  0.27711674E-20
     363.000 -0.20790938E-19  0.94042647E-22
     364.000 -0.20836997E-19 -0.11866429E-19
     365.000 -0.20863372E-19 -0.29401963E-19
     366.000 -0.20856375E-19 -0.44592041E-19
     367.000 -0.20861995E-19 -0.52069334E-19
     368.000 -0.20886047E-19 -0.51662152E-19
     369.000 -0.20876178E-19 -0.45373594E-19
     370.000 -0.20825405E-19 -0.35096175E-19
     371.000 -0.20791092E-19 -0.23289125E-19
     372.000 -0.20788413E-19 -0.12626153E-19
     373.000 -0.20768786E-19 -0.38148920E-20
     374.000 -0.20726132E-19  0.43110660E-20
     375.000 -0.20717140E-19  0.11929052E-19
     376.000 -0.20751612E-19  0.17314299E-19
     377.000 -0.20770948E-19  0.19336056E-19
     378.000 -0.20760396E-19  0.18987375E-19
     379.000 -0.20772957E-19  0.17626651E-19
     380.000 -0.20817115E-19  0.15328353E-19
     381.000 -0.20833691E-19  0.11878129E-19
     382.000 -0.20810785E-19  0.79715378E-20
     383.000 -0.20807814E-19  0.44046182E-20
     384.000 -0.20838404E-19  0.11847026E-20
     385.000 -0.20845010E-19 -0.16288646E-20
     386.000 -0.20816860E-19 -0.31518946E-20
     387.000 -0.20814782E-19 -0.26069139E-20
     388.000 -0.20850690E-19 -0.24752784E-21
     389.000 -0.20862374E-19  0.33104202E-20
     390.000 -0.20836490E-19  0.78061253E-20
     391.000 -0.20834589E-19  0.12672063E-19
     392.000 -0.20868551E-19  0.16541218E-19
     393.000 -0.20875028E-19  0.18302377E-19
     394.000 -0.20842685E-19  0.18076498E-19
     395.000 -0.20837347E-19  0.16544827E-19
     396.000 -0.20871209E-19  0.14056630E-19
     397.000 -0.20877060E-19  0.11066680E-19
     398.000 -0.20841913E-19  0.86059883E-20
     399.000 -0.20832944E-19  0.73853540E-20
     400.000 -0.20860917E-19  0.70059086E-20
     401.000 -0.20854972E-19  0.68500572E-20
     402.000 -0.20803870E-19  0.71098666E-20
     403.000 -0.20781944E-19  0.80278503E-20
     404.000 -0.20803371E-19  0.86864312E-20
     405.000 -0.20794738E-19  0.75453096E-20
     406.000 -0.20744442E-19  0.38264814E-20
     407.000 -0.20731098E-19 -0.23793106E-20
     408.000 -0.20769957E-19 -0.10677184E-19
     409.000 -0.20782864E-19 -0.19816845E-19
     410.000 -0.20755136E-19 -0.26973419E-19
     411.000 -0.20766224E-19 -0.29011779E-19
     412.000 -0.20828556E-19 -0.24767362E-19
     413.000 -0.20855825E-19 -0.15419627E-19
     414.000 -0.20828823E-19 -0.29092173E-20
     415.000 -0.20829529E-19  0.10955510E-19
     416.000 -0.20872758E-19  0.24034025E-19
     417.000 -0.20872359E-19  0.33992206E-19
     418.000 -0.20814281E-19  0.39565379E-19
     419.000 -0.20790820E-19  0.41067722E-19
     420.000 -0.20822006E-19  0.39486546E-19
     421.000 -0.20819163E-19  0.35828569E-19
     422.000 -0.20766948E-19  0.31443028E-19
     423.000 -0.20759685E-19  0.27905432E-19
     424.000 -0.20814152E-19  0.25916473E-19
     425.000 -0.20832861E-19  0.24808688E-19
     426.000 -0.20796896E-19  0.23524852E-19
     427.000 -0.20803447E-19  0.21664628E-19
     428.000 -0.20867579E-19  0.19393077E-19
     429.000 -0.20884646E-19  0.16915517E-19
     430.000 -0.20835187E-19  0.14370650E-19
     431.000 -0.20823659E-19  0.11796041E-19
     432.000 -0.20867761E-19  0.89497440E-20
     433.000 -0.20859905E-19  0.55660863E-20
     434.000 -0.20785129E-19  0.19659646E-20
     435.000 -0.20759666E-19 -0.94089534E-21
     436.000 -0.20804487E-19 -0.23106606E-20
     437.000 -0.20804890E-19 -0.16723247E-20
     438.000 -0.20743744E-19  0.12192896E-20
     439.000 -0.20741631E-19  0.61533052E-20
     440.000 -0.20814885E-19  0.12103688E-19
     441.000 -0.20835300E-19  0.17782951E-19
     442.000 -0.20782107E-19  0.22573408E-19
     443.000 -0.20783935E-19  0.26243799E-19
     444.000 -0.20858022E-19  0.27815973E-19
     445.000 -0.20868054E-19  0.25621469E-19
     446.000 -0.20795249E-19  0.18798685E-19
     447.000 -0.20780995E-19  0.83591365E-20
     448.000 -0.20844738E-19 -0.29893139E-20
     449.000 -0.20840835E-19 -0.11485172E-19
     450.000 -0.20752236E-19 -0.13467296E-19
     451.000 -0.20733710E-19 -0.74814691E-20
     452.000 -0.20805286E-19  0.41694936E-20
     453.000 -0.20808677E-19  0.15992398E-19
     454.000 -0.20727234E-19  0.20338842E-19
     455.000 -0.20728951E-19  0.74122711E-20
     456.000 -0.20830814E-19 -0.32185261E-19
     457.000 -0.20855247E-19 -0.99186049E-19
     458.000 -0.20781655E-19 -0.17827692E-18
     459.000 -0.20789894E-19 -0.24253545E-18
     460.000 -0.20892052E-19 -0.26841925E-18
     461.000 -0.20891413E-19 -0.24674289E-18
     462.000 -0.20772186E-19 -0.18096726E-18
     463.000 -0.20741057E-19 -0.80482666E-19
     464.000 -0.20816372E-19  0.41161739E-19
     465.000 -0.20787273E-19  0.16521621E-18
     466.000 -0.20646799E-19  0.27055198E-18
     467.000 -0.20628766E-19  0.33903830E-18
     468.000 -0.20745929E-19  0.35901997E-18
     469.000 -0.20754280E-19  0.32860039E-18
